#,Company,Symbol,Weight,      Price,Chg,% Chg
484,Discovery Inc. Class C,DISCK,0.021596,   27.55,-0.22,(-0.79%)
485,Rollins Inc.,ROL,0.021204,   35.39,0,0.00%
486,APA Corp.,APA,0.020702,   20.51,-0.06,(-0.29%)
487,Organon & Co.,OGN,0.020511,   30.10,0,0.00%
488,PVH Corp.,PVH,0.020021,   108.05,0,0.00%
489,IPG Photonics Corporation,IPGP,0.019787,   207.41,0,0.00%
490,Alaska Air Group Inc.,ALK,0.019628,   59.38,0,0.00%
491,Vornado Realty Trust,VNO,0.019265,   46.52,0,0.00%
492,Cabot Oil & Gas Corporation,COG,0.019017,   17.61,0,0.00%
493,People's United Financial Inc.,PBCT,0.018738,   16.75,0.05,-0.30%
494,Leggett & Platt Incorporated,LEG,0.01812,   50.88,0,0.00%
495,Gap Inc.,GPS,0.017381,   32.34,0,0.00%
496,Perrigo Co. Plc,PRGO,0.016977,   46.74,0,0.00%
497,Hanesbrands Inc.,HBI,0.016656,   18.10,0,0.00%
498,NOV Inc.,NOV,0.015057,   15.03,0,0.00%
499,Ralph Lauren Corporation Class A,RL,0.01498,   116.40,0,0.00%
500,Unum Group,UNM,0.014876,   27.91,0,0.00%
501,Fox Corporation Class B,FOX,0.014215,   34.51,0,0.00%
502,Discovery Inc. Class A,DISCA,0.012732,   29.33,0.03,-0.10%
503,Under Armour Inc. Class A,UAA,0.010568,   21.34,0,0.00%
504,Under Armour Inc. Class C,UA,0.009702,   18.82,0,0.00%
505,News Corporation Class B,NWS,0.007869,   24.00,-0.16,(-0.66%)
